time	[71 (Driver/Driver Speed)].ExportChannel-val	[73 (Driver/Headway Distance)].ExportChannel-val	[74 (Driver/Driver Lane Lateral Shift)].ExportChannel-val	[77 (Driver/Lane Number)].ExportChannel-val	[78 (Driver/Int_1)].ExportChannel-val	[79 (Driver/Int_2)].ExportChannel-val	[80 (Driver/Int_4)].ExportChannel-val	[81 (Driver/Int_6)].ExportChannel-val	[82 (Driver/Int_7)].ExportChannel-val	[83 (Driver/Int_10)].ExportChannel-val	[84 (Driver/Int_14)].ExportChannel-val	[85 (Driver/Int_15)].ExportChannel-val	[86 (Driver/Time Headway)].ExportChannel-val	[88 (Driver/Distance to Intersection)].ExportChannel-val
0	null	null	null	null	null	null	null	null	null	null	null	null	null	null
0.0166666666667	null	null	null	null	null	null	null	null	null	null	null	null	null	null
0.0333333333333	null	null	null	null	null	null	null	null	null	null	null	null	null	null
0.05	null	null	null	null	null	null	null	null	null	null	null	null	null	null
0.0666666666667	null	null	null	null	null	null	null	null	null	null	null	null	null	null
0.0833333333333	null	null	null	null	null	null	null	null	null	null	null	null	null	null
0.1	null	null	null	null	null	null	null	null	null	null	null	null	null	null
0.116666666667	null	null	null	null	null	null	null	null	null	null	null	null	null	null
0.133333333333	null	null	null	null	null	null	null	null	null	null	null	null	null	null
0.15	0.723818898201	0	-7.33389470042e-07	7	0	0	0	0	0	0	0	0	0	288.498779297
0.166666666667	0.723818898201	0	-7.33389470042e-07	7	0	0	0	0	0	0	0	0	0	288.498779297
0.183333333333	0.723818898201	0	-7.33389470042e-07	7	0	0	0	0	0	0	0	0	0	288.498779297
0.2	1.04402816296	0	-2.01182479032e-06	7	0	0	0	0	0	0	0	0	0	288.483947754
0.216666666667	1.04402816296	0	-2.01182479032e-06	7	0	0	0	0	0	0	0	0	0	288.483947754
0.233333333333	1.04402816296	0	-2.01182479032e-06	7	0	0	0	0	0	0	0	0	0	288.483947754
0.25	1.28945910931	0	2.74522994914e-06	7	0	0	0	0	0	0	0	0	0	288.467803955
0.266666666667	1.28945910931	0	2.74522994914e-06	7	0	0	0	0	0	0	0	0	0	288.467803955
0.283333333333	1.28945910931	0	2.74522994914e-06	7	0	0	0	0	0	0	0	0	0	288.467803955
0.3	1.50782692432	0	1.61450611813e-06	7	0	0	0	0	0	0	0	0	0	288.448822021
0.316666666667	1.50782692432	0	1.61450611813e-06	7	0	0	0	0	0	0	0	0	0	288.448822021
