participant_id,date,time,filename,intersection_number,intersection_distance,speed,lane_number
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.948608398,3.19178509712,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.948608398,3.19178509712,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.948608398,3.19178509712,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.89831543,3.27491569519,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.89831543,3.27491569519,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.89831543,3.27491569519,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.854187012,3.34683680534,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.854187012,3.34683680534,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.854187012,3.34683680534,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.809082031,3.41956996918,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.809082031,3.41956996918,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.809082031,3.41956996918,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.762969971,3.49345612526,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.762969971,3.49345612526,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.762969971,3.49345612526,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.707946777,3.58104038239,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.707946777,3.58104038239,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.707946777,3.58104038239,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.659698486,3.65770435333,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.659698486,3.65770435333,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.659698486,3.65770435333,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.61038208,3.73564457893,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.61038208,3.73564457893,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.61038208,3.73564457893,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.560028076,3.81488394737,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.560028076,3.81488394737,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.560028076,3.81488394737,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.499938965,3.90968775749,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.499938965,3.90968775749,7
